goal,avg_calories,workout_type
Strength,2905,strength
Strength,2959,strength
Strength,2948,strength
Strength,2748,strength
Strength,3082,strength
Strength,2669,strength
Strength,3162,strength
Strength,2974,strength
Strength,2530,strength
Strength,3003,strength
Strength,2938,cardio
Strength,2949,cardio
Strength,3050,cardio
Strength,2650,cardio
Strength,2505,cardio
Strength,2952,cardio
Strength,2754,cardio
Strength,3055,cardio
Strength,2962,cardio
Strength,3008,cardio
Strength,2658,stretching
Strength,2855,stretching
Strength,3077,stretching
Strength,2640,stretching
Strength,2883,stretching
Strength,3028,stretching
Strength,3142,stretching
Strength,2780,stretching
Strength,2956,stretching
Strength,2776,stretching
Strength,2592,HIIT
Strength,2643,HIIT
Strength,3157,HIIT
Strength,2913,HIIT
Strength,2589,HIIT
Strength,2576,HIIT
Strength,3034,HIIT
Strength,2692,HIIT
Strength,3008,HIIT
Strength,2621,HIIT
Strength,2926,yoga
Strength,2805,yoga
Strength,3168,yoga
Strength,3150,yoga
Strength,3025,yoga
Strength,2785,yoga
Strength,2846,yoga
Strength,2672,yoga
Strength,3134,yoga
Strength,2601,yoga
Strength,3110,pilates
Strength,2903,pilates
Strength,2919,pilates
Strength,2745,pilates
Strength,3165,pilates
Strength,2752,pilates
Strength,2987,pilates
Strength,2915,pilates
Strength,2628,pilates
Strength,2738,pilates
Strength,3009,cycling
Strength,2518,cycling
Strength,2905,cycling
Strength,2592,cycling
Strength,2537,cycling
Strength,3128,cycling
Strength,3007,cycling
Strength,2636,cycling
Strength,2644,cycling
Strength,2848,cycling
Strength,2520,running
Strength,2978,running
Strength,2511,running
Strength,2921,running
Strength,2616,running
Strength,2930,running
Strength,2519,running
Strength,2932,running
Strength,2691,running
Strength,2545,running
Strength,2523,swimming
Strength,2902,swimming
Strength,2773,swimming
Strength,2503,swimming
Strength,3024,swimming
Strength,2917,swimming
Strength,3130,swimming
Strength,3174,swimming
Strength,2957,swimming
Strength,2648,swimming
Flexibility,2052,strength
Flexibility,2135,strength
Flexibility,2148,strength
Flexibility,1812,strength
Flexibility,1866,strength
Flexibility,2293,strength
Flexibility,2269,strength
Flexibility,2201,strength
Flexibility,1853,strength
Flexibility,2229,strength
Flexibility,2218,cardio
Flexibility,1964,cardio
Flexibility,1836,cardio
Flexibility,2099,cardio
Flexibility,2250,cardio
